"hump","arch one''s back"
"dun","of a dull grayish brown to brownish gray color; ""the dun and dreary prairie"""
"earthlike","earth colored; having a color of soil or earth; ""a range of earthlike colors"""
"fuscous","having a dusky brownish gray color"
"taupe","having a dusky brownish gray color"
"green","similar to the color of fresh grass; ""a green tree""; ""green fields""; ""green paint"""
"greenish","similar to the color of fresh grass; ""a green tree""; ""green fields""; ""green paint"""
"hazel","of a light brown or yellowish brown color"
"honey","having the color of honey"
"jade","similar to the color of jade; especially varying from bluish green to yellowish green"
"khaki","of a yellowish brown color"
"lavender","of a pale purple color"
"lilac","of a pale purple color"
"magenta","deep purplish red"
"maroon","dark brownish to purplish red"
"mauve","of a pale to moderate grayish violet color"
"mosstone","of a moderate somewhat dull yellow-green color"
"mousy","having a drab pale brown color resembling a mouse; ""a mousy grownish-gray color""; ""mouse-colored hair""; ""a mouselike rodent"""
"mouselike","having a drab pale brown color resembling a mouse; ""a mousy grownish-gray color""; ""mouse-colored hair""; ""a mouselike rodent"""
"ocher","of a moderate orange-yellow color"
"ochre","of a moderate orange-yellow color"
"olive","of a yellow-green color similar to that of an unripe olive"
"orange","similar to the color of a ripe orange"
"orangish","similar to the color of a ripe orange"
"pink","of a light shade of red"
"pinkish","of a light shade of red"
"purple","of a color midway between red and blue"
"violet","of a color midway between red and blue"
"purplish","of a color midway between red and blue"
"red","having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies"
"reddish","having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies"
"ruddy","having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies"
"carmine","having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies"
"cerise","having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies"
"cherry","having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies"
"crimson","having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies"
"ruby","having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies"
"scarlet","having any of numerous bright or strong colors reminiscent of the color of blood or cherries or tomatoes or rubies"
"rose","having a dusty purplish pink color; ""the roseate glow of dawn"""
"roseate","having a dusty purplish pink color; ""the roseate glow of dawn"""
"rosaceous","having a dusty purplish pink color; ""the roseate glow of dawn"""
"russet","brown with a reddish tinge"
"rust","of the color of rust"
"rusty","of the color of rust"
"sage","of the gray-green color of sage leaves"
"sapphire","having the color of a blue sapphire; ""sapphire eyes"""
"snuff","snuff colored; grayish to yellowish brown"
"sorrel","of a light brownish color"
"stone","of any of various dull tannish-gray colors"
"straw","of a pale yellow color like straw; straw colored"
"tan","of a light yellowish-brown color"
"tannish","resembling tan"
"tangerine","of a strong reddish orange color"
"tawny","of a light brown to brownish orange color"
"ultramarine","of a brilliant pure blue to purplish blue color"
"umber","of the color of any of various natural brown earth pigments"
"vermilion","of a vivid red to reddish-orange color"
"vermillion","of a vivid red to reddish-orange color"
"cinnabar","of a vivid red to reddish-orange color"
"vinaceous","of the color of wine"
"yellow","similar to the color of an egg yolk"
"yellowish","similar to the color of an egg yolk"
"xanthous","similar to the color of an egg yolk"
"achromatic","having no hue"
"argent","lustrous gray; covered with or tinged with the color of silver; ""silvery hair"""
"silver","lustrous gray; covered with or tinged with the color of silver; ""silvery hair"""
"silvery","lustrous gray; covered with or tinged with the color of silver; ""silvery hair"""
"silverish","lustrous gray; covered with or tinged with the color of silver; ""silvery hair"""
"ashy","pale gray; ash-colored"
"blackish","somewhat black; ""blackish clouds"""
"canescent","grayish white; ""the canescent moon"""
"chalky","having the color of chalk; ""she turned chalky white"""
"charcoal","very dark gray"
"jet","of the blackest black; similar to the color of jet or coal"
"pitchy","of the blackest black; similar to the color of jet or coal"
"sooty","of the blackest black; similar to the color of jet or coal"
"ebon","very dark black"
"ebony","very dark black"
"gray","an achromatic color of any lightness between the extremes of black and white; ""gray flannel suit""; ""hair just turning gray"""
"grey","an achromatic color of any lightness between the extremes of black and white; ""gray flannel suit""; ""hair just turning gray"""
"grayish","an achromatic color of any lightness between the extremes of black and white; ""gray flannel suit""; ""hair just turning gray"""
"greyish","an achromatic color of any lightness between the extremes of black and white; ""gray flannel suit""; ""hair just turning gray"""
"hueless","totally lacking in saturation and therefore having no hue"
"inky","of the color of black ink"
"neutral","lacking hue; ""neutral colors like back or white"""
"pearly","a white the color of pearls"
"sable","dark somewhat brownish black"
"slaty","of the color of slate or granite; ""the slaty sky of dawn"""
"slatey","of the color of slate or granite; ""the slaty sky of dawn"""
"snowy","the white color of snow"
"whitish","tending toward white"
"black","being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light; ""black leather jackets""; ""as black as coal""; ""rich black soil"""
"achromatic","being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light; ""black leather jackets""; ""as black as coal""; ""rich black soil"""
"white","being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light; ""as white as fresh snow""; ""a bride''s white dress"""
"achromatic","being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light; ""as white as fresh snow""; ""a bride''s white dress"""
"albescent","becoming or shading into white"
"saturated","(of color) being chromatically pure; not diluted with white or gray or black"
"pure","(of color) being chromatically pure; not diluted with white or gray or black"
"intense","(of color) having the highest saturation; ""vivid green""; ""intense blue"""
"vivid","(of color) having the highest saturation; ""vivid green""; ""intense blue"""
"unsaturated","(of color) not chromatically pure; diluted; ""an unsaturated red"""
"dull","(of color) very low in saturation; highly diluted; ""dull greens and blues"""
"color","having or capable of producing colors; ""color film""; ""he rented a color television""; ""marvelous color illustrations"""
"colour","having or capable of producing colors; ""color film""; ""he rented a color television""; ""marvelous color illustrations"""
"colored","having color or a certain color; sometimes used in combination; ""colored crepe paper""; ""the film was in color""; ""amber-colored heads of grain"""
"coloured","having color or a certain color; sometimes used in combination; ""colored crepe paper""; ""the film was in color""; ""amber-colored heads of grain"""
"colorful","having color or a certain color; sometimes used in combination; ""colored crepe paper""; ""the film was in color""; ""amber-colored heads of grain"""
"crimson","(especially of the face) reddened or suffused with or as if with blood from emotion or exertion; ""crimson with fury""; ""turned red from exertion""; ""with puffy reddened eyes""; ""red-faced and violent""; ""flushed (or crimson) with embarrassment"""
"red","(especially of the face) reddened or suffused with or as if with blood from emotion or exertion; ""crimson with fury""; ""turned red from exertion""; ""with puffy reddened eyes""; ""red-faced and violent""; ""flushed (or crimson) with embarrassment"""
"reddened","(especially of the face) reddened or suffused with or as if with blood from emotion or exertion; ""crimson with fury""; ""turned red from exertion""; ""with puffy reddened eyes""; ""red-faced and violent""; ""flushed (or crimson) with embarrassment"""
"flushed","(especially of the face) reddened or suffused with or as if with blood from emotion or exertion; ""crimson with fury""; ""turned red from exertion""; ""with puffy reddened eyes""; ""red-faced and violent""; ""flushed (or crimson) with embarrassment"""
"bay","(used of animals especially a horse) of a moderate reddish-brown color"
"bicolor","having two colors; ""a bicolor flower""; ""a bicolored postage stamp"""
"bicolour","having two colors; ""a bicolor flower""; ""a bicolored postage stamp"""
"bicolored","having two colors; ""a bicolor flower""; ""a bicolored postage stamp"""
"bicoloured","having two colors; ""a bicolor flower""; ""a bicolored postage stamp"""
"bichrome","having two colors; ""a bicolor flower""; ""a bicolored postage stamp"""
"dichromatic","having two colors; ""a bicolor flower""; ""a bicolored postage stamp"""
"black","(of the face) made black especially as with suffused blood; ""a face black with fury"""
"blackened","(of the face) made black especially as with suffused blood; ""a face black with fury"""
"ginger","(used especially of hair or fur) having a bright orange-brown color; ""a man with gingery hair and bright blue eyes""; ""a ginger kitten"""
"gingery","(used especially of hair or fur) having a bright orange-brown color; ""a man with gingery hair and bright blue eyes""; ""a ginger kitten"""
"monochromatic","having or appearing to have only one color"
"monochrome","having or appearing to have only one color"
"monochromic","having or appearing to have only one color"
"monochromous","having or appearing to have only one color"
"motley","having sections or patches colored differently and usually brightly; ""a jester dressed in motley""; ""the painted desert""; ""a particolored dress""; ""a piebald horse""; ""pied daisies"""
"calico","having sections or patches colored differently and usually brightly; ""a jester dressed in motley""; ""the painted desert""; ""a particolored dress""; ""a piebald horse""; ""pied daisies"""
"multicolor","having sections or patches colored differently and usually brightly; ""a jester dressed in motley""; ""the painted desert""; ""a particolored dress""; ""a piebald horse""; ""pied daisies"""
"multicolour","having sections or patches colored differently and usually brightly; ""a jester dressed in motley""; ""the painted desert""; ""a particolored dress""; ""a piebald horse""; ""pied daisies"""
"multicolored","having sections or patches colored differently and usually brightly; ""a jester dressed in motley""; ""the painted desert""; ""a particolored dress""; ""a piebald horse""; ""pied daisies"""
"multicoloured","having sections or patches colored differently and usually brightly; ""a jester dressed in motley""; ""the painted desert""; ""a particolored dress""; ""a piebald horse""; ""pied daisies"""
"painted","having sections or patches colored differently and usually brightly; ""a jester dressed in motley""; ""the painted desert""; ""a particolored dress""; ""a piebald horse""; ""pied daisies"""
"particolored","having sections or patches colored differently and usually brightly; ""a jester dressed in motley""; ""the painted desert""; ""a particolored dress""; ""a piebald horse""; ""pied daisies"""
"particoloured","having sections or patches colored differently and usually brightly; ""a jester dressed in motley""; ""the painted desert""; ""a particolored dress""; ""a piebald horse""; ""pied daisies"""
"piebald","having sections or patches colored differently and usually brightly; ""a jester dressed in motley""; ""the painted desert""; ""a particolored dress""; ""a piebald horse""; ""pied daisies"""
"pied","having sections or patches colored differently and usually brightly; ""a jester dressed in motley""; ""the painted desert""; ""a particolored dress""; ""a piebald horse""; ""pied daisies"""
"varicolored","having sections or patches colored differently and usually brightly; ""a jester dressed in motley""; ""the painted desert""; ""a particolored dress""; ""a piebald horse""; ""pied daisies"""
"varicoloured","having sections or patches colored differently and usually brightly; ""a jester dressed in motley""; ""the painted desert""; ""a particolored dress""; ""a piebald horse""; ""pied daisies"""
"polychromatic","having or exhibiting many colors"
"polychrome","having or exhibiting many colors"
"polychromic","having or exhibiting many colors"
"roan","(used of especially horses) having a brownish coat thickly sprinkled with white or gray; ""a roan horse"""
"touched","being colored slightly; sometimes used in combination; ""white petals touched with pink""; ""the resplendent sun-touched flag""; ""pink-tinged apple blossoms"""
"tinged","being colored slightly; sometimes used in combination; ""white petals touched with pink""; ""the resplendent sun-touched flag""; ""pink-tinged apple blossoms"""
"trichromatic","having or involving three colors; ""trichromatic vision""; ""a trichromatic printing process""; ""trichromatic staining is the staining of tissue samples differentially in three colors""; ""tricolor plumage""; ""a tricolor process in photography"""
"trichrome","having or involving three colors; ""trichromatic vision""; ""a trichromatic printing process""; ""trichromatic staining is the staining of tissue samples differentially in three colors""; ""tricolor plumage""; ""a tricolor process in photography"""
"tricolor","having or involving three colors; ""trichromatic vision""; ""a trichromatic printing process""; ""trichromatic staining is the staining of tissue samples differentially in three colors""; ""tricolor plumage""; ""a tricolor process in photography"""
"uncolored","without color; ""pure water is uncolored"""
"uncoloured","without color; ""pure water is uncolored"""
"achromatous","having little or inadequate color"
"achromic","having no color"
"achromous","having no color"
"stained","marked or dyed or discolored with foreign matter; ""a badly stained tablecloth""; ""tear-stained cheeks"""
"discolored","having the color spoiled with spots or streaks"
"discoloured","having the color spoiled with spots or streaks"
"treated","(of a specimen for study under a microscope) treated with a reagent or dye that colors only certain structures"
"unstained","not stained; ""An apron keeps his clothing unstained"""
"untreated","(of a specimen for study under a microscope) not treated with a reagent or dye"
"colorful","having striking color; ""colorful autumn leaves"""
"colourful","having striking color; ""colorful autumn leaves"""
"ablaze","resembling flame in brilliance or color; ""maple trees ablaze in autumn""; ""flaming autumn leaves"""
"flaming","resembling flame in brilliance or color; ""maple trees ablaze in autumn""; ""flaming autumn leaves"""
"bright","having striking color; ""bright greens""; ""brilliant tapestries""; ""a bird with vivid plumage"""
"brilliant","having striking color; ""bright greens""; ""brilliant tapestries""; ""a bird with vivid plumage"""
"vivid","having striking color; ""bright greens""; ""brilliant tapestries""; ""a bird with vivid plumage"""
"changeable","varying in color when seen in different lights or from different angles; ""changeable taffeta""; ""chatoyant (or shot) silk""; ""a dragonfly hovered, vibrating and iridescent"""
"chatoyant","varying in color when seen in different lights or from different angles; ""changeable taffeta""; ""chatoyant (or shot) silk""; ""a dragonfly hovered, vibrating and iridescent"""
"iridescent","varying in color when seen in different lights or from different angles; ""changeable taffeta""; ""chatoyant (or shot) silk""; ""a dragonfly hovered, vibrating and iridescent"""
"shot","varying in color when seen in different lights or from different angles; ""changeable taffeta""; ""chatoyant (or shot) silk""; ""a dragonfly hovered, vibrating and iridescent"""
"deep","strong; intense; ""deep purple""; ""a rich red"""
"rich","strong; intense; ""deep purple""; ""a rich red"""
"fluorescent","brilliantly colored and apparently giving off light; ""fluorescent colors"""
"prismatic","exhibiting spectral colors formed by refraction of light through a prism; ""prismatic light"""
"psychedelic","having the vivid colors and bizarre patterns associated with psychedelic states; ""a psychedelic painting"""
"colorless","weak in color; not colorful"
"colourless","weak in color; not colorful"
"ashen","ash-colored or anemic looking from illness or emotion; ""a face turned ashen""; ""the invalid''s blanched cheeks""; ""tried to speak with bloodless lips""; ""a face livid with shock""; ""lips...livid with the hue of death""- Mary W. Shelley; ""lips white with terror"
"blanched","ash-colored or anemic looking from illness or emotion; ""a face turned ashen""; ""the invalid''s blanched cheeks""; ""tried to speak with bloodless lips""; ""a face livid with shock""; ""lips...livid with the hue of death""- Mary W. Shelley; ""lips white with terror"
"bloodless","ash-colored or anemic looking from illness or emotion; ""a face turned ashen""; ""the invalid''s blanched cheeks""; ""tried to speak with bloodless lips""; ""a face livid with shock""; ""lips...livid with the hue of death""- Mary W. Shelley; ""lips white with terror"
"livid","ash-colored or anemic looking from illness or emotion; ""a face turned ashen""; ""the invalid''s blanched cheeks""; ""tried to speak with bloodless lips""; ""a face livid with shock""; ""lips...livid with the hue of death""- Mary W. Shelley; ""lips white with terror"
"white","ash-colored or anemic looking from illness or emotion; ""a face turned ashen""; ""the invalid''s blanched cheeks""; ""tried to speak with bloodless lips""; ""a face livid with shock""; ""lips...livid with the hue of death""- Mary W. Shelley; ""lips white with terror"
"bleached","having lost freshness or brilliance of color; ""sun-bleached deck chairs""; ""faded jeans""; ""a very pale washed-out blue""; ""washy colors"""
"faded","having lost freshness or brilliance of color; ""sun-bleached deck chairs""; ""faded jeans""; ""a very pale washed-out blue""; ""washy colors"""
"washy","having lost freshness or brilliance of color; ""sun-bleached deck chairs""; ""faded jeans""; ""a very pale washed-out blue""; ""washy colors"""
"drab","lacking brightness or color; dull; ""drab faded curtains""; ""sober Puritan gray""; ""children in somber brown clothes"""
"sober","lacking brightness or color; dull; ""drab faded curtains""; ""sober Puritan gray""; ""children in somber brown clothes"""
"somber","lacking brightness or color; dull; ""drab faded curtains""; ""sober Puritan gray""; ""children in somber brown clothes"""
"sombre","lacking brightness or color; dull; ""drab faded curtains""; ""sober Puritan gray""; ""children in somber brown clothes"""
"dulled","deprived of color; ""colors dulled by too much sun""; ""grayed with the dust of the road"""
"grayed","deprived of color; ""colors dulled by too much sun""; ""grayed with the dust of the road"""
"etiolate","(especially of plants) developed without chlorophyll by being deprived of light; ""etiolated celery"""
"etiolated","(especially of plants) developed without chlorophyll by being deprived of light; ""etiolated celery"""
"blanched","(especially of plants) developed without chlorophyll by being deprived of light; ""etiolated celery"""
"lurid","ghastly pale; ""moonlight gave the statue a lurid luminence"""
"pale","abnormally deficient in color as suggesting physical or emotional distress; ""the pallid face of the invalid""; ""her wan face suddenly flushed"""
"pallid","abnormally deficient in color as suggesting physical or emotional distress; ""the pallid face of the invalid""; ""her wan face suddenly flushed"""
"wan","abnormally deficient in color as suggesting physical or emotional distress; ""the pallid face of the invalid""; ""her wan face suddenly flushed"""
"pasty","resembling paste in color; pallid; ""the looked pasty and red-eyed""; ""a complexion that had been pastelike was now chalky white"""
"pastelike","resembling paste in color; pallid; ""the looked pasty and red-eyed""; ""a complexion that had been pastelike was now chalky white"""
"prefaded","(of fabric or clothing) having been given a faded (weathered) appearance by artificial means"
"waxen","having the paleness of wax; ""the poor face with the same awful waxen pallor""- Bram Stoker; ""the soldier turned his waxlike features toward him""; ""a thin face with a waxy paleness"""
"waxlike","having the paleness of wax; ""the poor face with the same awful waxen pallor""- Bram Stoker; ""the soldier turned his waxlike features toward him""; ""a thin face with a waxy paleness"""
"waxy","having the paleness of wax; ""the poor face with the same awful waxen pallor""- Bram Stoker; ""the soldier turned his waxlike features toward him""; ""a thin face with a waxy paleness"""
"white","(of hair) having lost its color; ""the white hairs of old age"""
"whitened","(of hair) having lost its color; ""the white hairs of old age"""
"colorful","striking in variety and interest; ""a colorful period of history""; ""a colorful character""; ""colorful language"""
"brave","brightly colored and showy; ""girls decked out in brave new dresses""; ""brave banners flying""; ""`braw'' is a Scottish word""; ""a dress a bit too gay for her years""; ""birds with gay plumage"""
"braw","brightly colored and showy; ""girls decked out in brave new dresses""; ""brave banners flying""; ""`braw'' is a Scottish word""; ""a dress a bit too gay for her years""; ""birds with gay plumage"""
"gay","brightly colored and showy; ""girls decked out in brave new dresses""; ""brave banners flying""; ""`braw'' is a Scottish word""; ""a dress a bit too gay for her years""; ""birds with gay plumage"""
"flamboyant","richly and brilliantly colorful"
"resplendent","richly and brilliantly colorful"
"unrestrained","richly and brilliantly colorful"
"flashy","(used especially of clothes) marked by conspicuous display"
"gaudy","(used especially of clothes) marked by conspicuous display"
"jazzy","(used especially of clothes) marked by conspicuous display"
"showy","(used especially of clothes) marked by conspicuous display"
"sporty","(used especially of clothes) marked by conspicuous display"
"picturesque","strikingly expressive; ""a picturesque description of the rainforest"""
"colorless","lacking in variety and interest; ""a colorless and unimaginative person""; ""a colorless description of the parade"""
"colourless","lacking in variety and interest; ""a colorless and unimaginative person""; ""a colorless description of the parade"""
"neutral","lacking distinguishing quality or characteristics; ""a neutral personality that made no impression whatever"""
"pale","lacking in vitality or interest or effectiveness; ""a pale rendition of the aria""; ""pale prose with the faint sweetness of lavender""; ""a pallid performance"""
"pallid","lacking in vitality or interest or effectiveness; ""a pale rendition of the aria""; ""pale prose with the faint sweetness of lavender""; ""a pallid performance"""
"light","(used of color) having a relatively small amount of coloring agent; ""light blue""; ""light colors such as pastels""; ""a light-colored powder"""
"pale","very light colored; highly diluted with white; ""pale seagreen""; ""pale blue eyes"""
"palish","slightly pale"
"pastel","delicate and pale in color; ""pastel pink"""
"powdery","as if dulled in color with a sprinkling of powder; ""a powdery blue"""
"dark","(used of color) having a dark hue; ""dark green""; ""dark glasses""; ""dark colors like wine red or navy blue"""
"darkish","slightly dark; ""darkish red"""
"chromatic","based on a scale consisting of 12 semitones; ""a chromatic scale"""
"diatonic","based on the standard major or minor scales consisting of 5 tones and 2 semitones without modulation by accidentals"
"cismontane","on this (the speaker''s) side of the mountains; ""a contest in Virginia between a cismontane and a tramontane people"""
"cisalpine","on the Italian or Roman side of the Alps; ""ancient cisalpine Gaul included an area south and east of the Alps"""
"ultramontane","on the Italian or Roman side of the Alps; ""ancient cisalpine Gaul included an area south and east of the Alps"""
"tramontane","on or coming from the other side of the mountains (from the speaker); ""the transmontane section of the state""; ""tramontane winds"""
"transmontane","on or coming from the other side of the mountains (from the speaker); ""the transmontane section of the state""; ""tramontane winds"""
"transalpine","on or relating to or characteristic of the region or peoples beyond the Alps from Italy (or north of the Alps); ""ancient transalpine Gaul was an area northwest of the Alps and included modern France and Belgium""; ""Cracow was a transalpine university"""
"ultramontane","on or relating to or characteristic of the region or peoples beyond the Alps from Italy (or north of the Alps); ""ancient transalpine Gaul was an area northwest of the Alps and included modern France and Belgium""; ""Cracow was a transalpine university"""
"christian","following the teachings or manifesting the qualities or spirit of Jesus Christ"
"christianly","becoming to or like a Christian; ""gentle christianly behavior"""
"christlike","resembling or showing the spirit of Christ"
"christly","resembling or showing the spirit of Christ"
"unchristian","not of a Christian faith"
"christless","not believing in Christ"
"nonchristian","not believing in Christ"
"unchristianly","not becoming to or like a Christian; ""ashamed to have to recognize how unchristianly his assumptions and motives are"""
"unchristlike","not becoming to or like a Christian; ""ashamed to have to recognize how unchristianly his assumptions and motives are"""
"civilized","having a high state of culture and development both social and technological; ""terrorist acts that shocked the civilized world"""
"civilised","having a high state of culture and development both social and technological; ""terrorist acts that shocked the civilized world"""
"advanced","(of societies) highly developed especially in technology or industry; ""advanced societies""; ""an advanced country technologically"""
"civil","of or in a condition of social order; ""civil peoples"""
"humane","showing evidence of moral and intellectual advancement"
"noncivilized","not having a high state of culture and social development"
"noncivilised","not having a high state of culture and social development"
"barbarian","without civilizing influences; ""barbarian invaders""; ""barbaric practices""; ""a savage people""; ""fighting is crude and uncivilized especially if the weapons are efficient""-Margaret Meade; ""wild tribes"""
"barbaric","without civilizing influences; ""barbarian invaders""; ""barbaric practices""; ""a savage people""; ""fighting is crude and uncivilized especially if the weapons are efficient""-Margaret Meade; ""wild tribes"""
"savage","without civilizing influences; ""barbarian invaders""; ""barbaric practices""; ""a savage people""; ""fighting is crude and uncivilized especially if the weapons are efficient""-Margaret Meade; ""wild tribes"""
"uncivilized","without civilizing influences; ""barbarian invaders""; ""barbaric practices""; ""a savage people""; ""fighting is crude and uncivilized especially if the weapons are efficient""-Margaret Meade; ""wild tribes"""
"uncivilised","without civilizing influences; ""barbarian invaders""; ""barbaric practices""; ""a savage people""; ""fighting is crude and uncivilized especially if the weapons are efficient""-Margaret Meade; ""wild tribes"""
"wild","without civilizing influences; ""barbarian invaders""; ""barbaric practices""; ""a savage people""; ""fighting is crude and uncivilized especially if the weapons are efficient""-Margaret Meade; ""wild tribes"""
"barbarous","primitive in customs and culture"
"preliterate","used of a society that has not developed writing"
"nonliterate","used of a society that has not developed writing"
"primitive","used of preliterate or tribal or nonindustrial societies; ""primitive societies"""
"classical","of or characteristic of a form or system felt to be of first significance before modern times"
"classic","characteristic of the classical artistic and literary traditions"
"Hellenic","characteristic of the ancient Greek and Roman cultures"
"neoclassic","characteristic of a revival of an earlier classical style"
"neoclassical","characteristic of a revival of an earlier classical style"
"nonclassical","not classical"
"modern","characteristic of present-day art and music and literature and architecture"
"popular","(of music or art) new and of general appeal (especially among young people)"
"pop","(of music or art) new and of general appeal (especially among young people)"
"classified","arranged into classes"
"categorized","arranged into categories"
"categorised","arranged into categories"
"grouped","arranged into groups"
"sorted","arranged into groups"
"unclassified","not arranged in any specific grouping"
"uncategorized","not categorized or sorted"
"uncategorised","not categorized or sorted"
"unsorted","not categorized or sorted"
"classified","official classification of information or documents; withheld from general circulation; ""thousands of classified documents have now been declassified"""
"confidential","the level of official classification for documents next above restricted and below secret; available only to persons authorized to see documents so classified"
"restricted","the lowest level of official classification for documents"
"secret","the next to highest level of official classification for documents"
"sensitive","used officially of classified information or matters affecting national security"
"unclassified","not subject to a security classification"
"declassified","having had security classification removed"
"nonsensitive","never having had security classification"
"unrestricted","never having had security classification"
"analyzed","examined carefully and methodically; broken down for consideration of constituent parts; ""the analyzed data indicated surprising trends""; ""a carefully analyzed poem can be like a dead butterfly pinned to a board"""
"unanalyzed","not analyzed or broken down for detailed examination; ""an unalyzed compound""; ""unanalyzed data"""
"crude","not processed or subjected to analysis; ""raw data""; ""the raw cost of production""; ""only the crude vital statistics"""
"raw","not processed or subjected to analysis; ""raw data""; ""the raw cost of production""; ""only the crude vital statistics"""
"clean","free from dirt or impurities; or having clean habits; ""children with clean shining faces""; ""clean white shirts""; ""clean dishes""; ""a spotlessly clean house""; ""cats are clean animals"""
"cleanable","capable of being cleaned"
"cleaned","made clean"
"cleansed","made clean"
"cleanly","habitually clean; ""cleanly in their persons and habitations"""
"fresh","not yet used or soiled; ""a fresh shirt""; ""a fresh sheet of paper""; ""an unused envelope"""
"unused","not yet used or soiled; ""a fresh shirt""; ""a fresh sheet of paper""; ""an unused envelope"""
"immaculate","completely neat and clean; ""the apartment was immaculate""; ""in her immaculate white uniform""; ""a spick-and-span kitchen""; ""their spic red-visored caps"""
"speckless","completely neat and clean; ""the apartment was immaculate""; ""in her immaculate white uniform""; ""a spick-and-span kitchen""; ""their spic red-visored caps"""
"spic","completely neat and clean; ""the apartment was immaculate""; ""in her immaculate white uniform""; ""a spick-and-span kitchen""; ""their spic red-visored caps"""
"spick","completely neat and clean; ""the apartment was immaculate""; ""in her immaculate white uniform""; ""a spick-and-span kitchen""; ""their spic red-visored caps"""
"spotless","completely neat and clean; ""the apartment was immaculate""; ""in her immaculate white uniform""; ""a spick-and-span kitchen""; ""their spic red-visored caps"""
"pristine","immaculately clean and unused; ""handed her his pristine white handkerchief"""
"scrubbed","made clean by scrubbing; ""fresh-scrubbed floors""; ""boys with scrubbed necks and faces"""
"unsoiled","without soil or spot or stain"
"unspotted","without soil or spot or stain"
"unstained","without soil or spot or stain"
"unsullied","spotlessly clean and fresh; ""the unsullied snow of mountains""; ""the unsullied splender of eternal youth""- Oscar Wilde"
"washed","clean by virtue of having been washed in water"
"dirty","soiled or likely to soil with dirt or grime; ""dirty unswept sidewalks""; ""a child in dirty overalls""; ""dirty slums""; ""piles of dirty dishes""; ""put his dirty feet on the clean sheet""; ""wore an unclean shirt""; ""mining is a dirty job""; ""Cinderella did the dir"
"soiled","soiled or likely to soil with dirt or grime; ""dirty unswept sidewalks""; ""a child in dirty overalls""; ""dirty slums""; ""piles of dirty dishes""; ""put his dirty feet on the clean sheet""; ""wore an unclean shirt""; ""mining is a dirty job""; ""Cinderella did the dir"
"unclean","soiled or likely to soil with dirt or grime; ""dirty unswept sidewalks""; ""a child in dirty overalls""; ""dirty slums""; ""piles of dirty dishes""; ""put his dirty feet on the clean sheet""; ""wore an unclean shirt""; ""mining is a dirty job""; ""Cinderella did the dir"
"bedraggled","limp and soiled as if dragged in the mud; ""the beggar''s bedraggled clothes""; ""scarecrows in battered hats or draggled skirts"""
"draggled","limp and soiled as if dragged in the mud; ""the beggar''s bedraggled clothes""; ""scarecrows in battered hats or draggled skirts"""
"befouled","made dirty or foul; ""a building befouled with soot""; ""breathing air fouled and darkened with factory soot"""
"fouled","made dirty or foul; ""a building befouled with soot""; ""breathing air fouled and darkened with factory soot"""
"begrimed","thickly covered with ingrained dirt or soot; ""a miner''s begrimed face""; ""dingy linen""; ""grimy hands""; ""grubby little fingers""; ""a grungy kitchen"""
"dingy","thickly covered with ingrained dirt or soot; ""a miner''s begrimed face""; ""dingy linen""; ""grimy hands""; ""grubby little fingers""; ""a grungy kitchen"""
"grimy","thickly covered with ingrained dirt or soot; ""a miner''s begrimed face""; ""dingy linen""; ""grimy hands""; ""grubby little fingers""; ""a grungy kitchen"""
"grubby","thickly covered with ingrained dirt or soot; ""a miner''s begrimed face""; ""dingy linen""; ""grimy hands""; ""grubby little fingers""; ""a grungy kitchen"""
"grungy","thickly covered with ingrained dirt or soot; ""a miner''s begrimed face""; ""dingy linen""; ""grimy hands""; ""grubby little fingers""; ""a grungy kitchen"""
"raunchy","thickly covered with ingrained dirt or soot; ""a miner''s begrimed face""; ""dingy linen""; ""grimy hands""; ""grubby little fingers""; ""a grungy kitchen"""
"bespattered","spattered or spotted with dirt or filth; often used in combination; ""dingy bespattered walls""; ""a grease-spattered floor""; ""a besplashed coach""; ""mud-splashed trouser legs"""
"spattered","spattered or spotted with dirt or filth; often used in combination; ""dingy bespattered walls""; ""a grease-spattered floor""; ""a besplashed coach""; ""mud-splashed trouser legs"""
"besplashed","spattered or spotted with dirt or filth; often used in combination; ""dingy bespattered walls""; ""a grease-spattered floor""; ""a besplashed coach""; ""mud-splashed trouser legs"""
"splashed","spattered or spotted with dirt or filth; often used in combination; ""dingy bespattered walls""; ""a grease-spattered floor""; ""a besplashed coach""; ""mud-splashed trouser legs"""
"black","soiled with dirt or soot; ""with feet black from playing outdoors""; ""his shirt was black within an hour"""
"buggy","infested with bugs"
"dusty","covered with a layer of dusty; ""a dusty pile of books"""
"fecal","foul with waste matter; of or relating to feces"
