"hump","arch one''s back"
"close","come together, as if in an embrace; ""Her arms closed around her long lost relative"""
"push","approach a certain age or speed; ""She is pushing fifty"""
"crowd","approach a certain age or speed; ""She is pushing fifty"""
"unfold","extend or stretch out to a greater or the full length; ""Unfold the newspaper""; ""stretch out that piece of cloth""; ""extend the TV antenna"""
"stretch","extend or stretch out to a greater or the full length; ""Unfold the newspaper""; ""stretch out that piece of cloth""; ""extend the TV antenna"""
"extend","extend or stretch out to a greater or the full length; ""Unfold the newspaper""; ""stretch out that piece of cloth""; ""extend the TV antenna"""
"tear","move quickly and violently; ""The car tore down the street""; ""He came charging into my office"""
"shoot","move quickly and violently; ""The car tore down the street""; ""He came charging into my office"""
"charge","move quickly and violently; ""The car tore down the street""; ""He came charging into my office"""
"buck","move quickly and violently; ""The car tore down the street""; ""He came charging into my office"""
"zoom","move along very quickly"
"whizz","move along very quickly"
"speed","move very fast; ""The runner zipped past us at breakneck speed"""
"hurry","move very fast; ""The runner zipped past us at breakneck speed"""
"zip","move very fast; ""The runner zipped past us at breakneck speed"""
"speed","travel at an excessive or illegal velocity; ""I got a ticket for speeding"""
"zoom","move with a low humming noise"
"stampede","run away in a stampede"
"rouse","force or drive out; ""The police routed them out of bed at 2 A.M."""
"hunt","chase away, with as with force; ""They hunted the the unwanted immigrants out of the neighborhood"""
"drive","cause someone or something to move by driving; ""She drove me to school every day""; ""We drove the car to the garage"""
"pull","steer into a certain direction; ""pull one''s horse to a stand""; ""Pull the car over"""
"pull","move into a certain direction; ""the car pulls to the right"""
"drive","move by being propelled by a force; ""The car drove around the corner"""
"chauffeur","drive someone in a vehicle"
"bustle","move or cause to move energetically or busily; ""The cheerleaders bustled about excitingly before their performance"""
"hustle","move or cause to move energetically or busily; ""The cheerleaders bustled about excitingly before their performance"""
"fidget","move restlessly; ""The child is always fidgeting in his seat"""
"linger","take one''s time; proceed slowly"
"dawdle","take one''s time; proceed slowly"
"drag","to lag or linger behind; ""But in so many other areas we still are dragging"""
"trail","to lag or linger behind; ""But in so many other areas we still are dragging"""
"rush","step on it; ""He rushed down the hall to receive his guests""; ""The cars raced down the street"""
"hotfoot","step on it; ""He rushed down the hall to receive his guests""; ""The cars raced down the street"""
"hasten","step on it; ""He rushed down the hall to receive his guests""; ""The cars raced down the street"""
"hie","step on it; ""He rushed down the hall to receive his guests""; ""The cars raced down the street"""
"speed","step on it; ""He rushed down the hall to receive his guests""; ""The cars raced down the street"""
"race","step on it; ""He rushed down the hall to receive his guests""; ""The cars raced down the street"""
"race","cause to move fast or to rush or race; ""The psychologist raced the rats through a long maze"""
"rush","cause to move fast or to rush or race; ""The psychologist raced the rats through a long maze"""
"rush","run with the ball, in football"
"trail","move, proceed, or walk draggingly pr slowly; ""John trailed behind behis class mates""; ""The Mercedes trailed behind the horse cart"""
"shack","move, proceed, or walk draggingly pr slowly; ""John trailed behind behis class mates""; ""The Mercedes trailed behind the horse cart"""
"diffuse","move outward; ""The soldiers fanned out"""
"spread","move outward; ""The soldiers fanned out"""
"percolate","spread gradually; ""Light percolated into our house in the morning"""
"creep","grow in such a way as to cover (a building, for example); ""ivy grew over the walls of the university buildings"""
"run","be diffused; ""These dyes and colors are guaranteed not to run"""
"bleed","be diffused; ""These dyes and colors are guaranteed not to run"""
"crock","release color when rubbed, of badly dyed fabric"
"flinch","draw back, as with fear or pain; ""she flinched when they showed the slaughtering of the calf"""
